0.4576	0.156	0.1535
0.156	0.4666	0.158
0.1535	0.158	0.4615
0.4666	0.158	0.156
0.158	0.4615	0.1535
0.156	0.1535	0.4576
0.4615	0.1535	0.158
0.1535	0.4576	0.156
0.158	0.156	0.4666
0.4615	0.158	0.1535
0.158	0.4666	0.156
0.1535	0.156	0.4576
0.4666	0.156	0.158
0.156	0.4576	0.1535
0.158	0.1535	0.4615
0.4576	0.1535	0.156
0.1535	0.4615	0.158
0.156	0.158	0.4666
0.4576	0	0.1535
0	0	0
0.1535	0	0.4615
0.4576	0.1535	0
0.1535	0.4615	0
0	0	0
1.3292	0	0
0	0	0
0	0	0
0	0	0
0	1.3292	0
0	0	0
0	0	0
0	0	0
0	0	1.3292
1.5209	0.5198	0.4924
0.5198	1.5329	0.5198
0.4924	0.5198	1.5209
0.0127	0	0
0	0.0127	0
0	0	0.0127
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
