1.078	0.5017	0.3849
0.5017	1.0482	0.4236
0.3849	0.4236	1.0651
1.0482	0.4236	0.5017
0.4236	1.0651	0.3849
0.5017	0.3849	1.078
1.0651	0.3849	0.4236
0.3849	1.078	0.5017
0.4236	0.5017	1.0482
1.0651	0.4236	0.3849
0.4236	1.0482	0.5017
0.3849	0.5017	1.078
1.0482	0.5017	0.4236
0.5017	1.078	0.3849
0.4236	0.3849	1.0651
1.078	0.3849	0.5017
0.3849	1.0651	0.4236
0.5017	0.4236	1.0482
1.078	0	0.3849
0	0	0
0.3849	0	1.0651
1.078	0.3849	0
0.3849	1.0651	0
0	0	0
1.3475	0	0
0	0	0
0	0	0
0	0	0
0	1.3475	0
0	0	0
0	0	0
0	0	0
0	0	1.3475
0.7521	0.2775	0.2157
0.2775	0.7161999999999999	0.2775
0.2157	0.2775	0.7521
0.0272	0	0
0	0.0272	0
0	0	0.0272
5e-07	0	0
0	5e-07	0
0	0	5e-07
5e-07	0	0
0	0	0
0	0	0
0	0	0
0	5e-07	0
0	0	0
0	0	0
0	0	0
0	0	5e-07
5e-07	0	0
0	5e-07	0
0	0	0
0	0	0
0	5e-07	0
0	0	5e-07
5e-07	0	0
0	0	0
0	0	5e-07
